Timestamp,Prompt,Model,Samples,Temperature,TFIDF_Pairwise_Dissim_Avg,TFIDF_Pairwise_Dissim_StdDev,USE_Pairwise_Dissim_Avg,USE_Pairwise_Dissim_StdDev,Avg_Dissim_To_Mean_TFIDF,Avg_Dissim_To_Mean_TFIDF_StdDev,Avg_Dissim_To_Mean_USE,Avg_Dissim_To_Mean_USE_StdDev
2025-04-29T08:47:42.481Z,Write a three-sentence summary of a story about an adventure on the open seas.,gemini-2.0-flash,10,0.7,0.72302,0.13782,0.12213,0.05420,0.41069,0.07116,0.05656,0.03259
2025-04-29T08:51:36.519Z,Write a three-sentence summary of a story about an adventure on the open seas.,gemini-2.0-flash,10,0,0.07803,0.07058,0.00464,0.00420,0.03576,0.00122,0.00209,0.00000
2025-04-29T08:52:28.615Z,Write a three-sentence summary of a story about an adventure on the open seas.,gemini-2.0-flash,10,0.5,0.70835,0.12650,0.08915,0.02965,0.39992,0.05312,0.04096,0.01476
2025-04-29T09:05:24.200Z,Write a three-sentence summary of a story about an adventure on the open seas.,gemini-2.0-flash,10,1,0.76980,0.08070,0.16224,0.05478,0.44608,0.05806,0.07589,0.02891
2025-04-29T09:06:51.863Z,Write a three-sentence summary of a story about an adventure on the open seas. You are a famous out-of-the-box author.,gemini-2.0-flash,10,0.7,0.81475,0.03985,0.24809,0.04177,0.48391,0.03709,0.11868,0.01627
2025-04-29T09:07:33.963Z,Write a three-sentence summary of a story about an adventure on the open seas. You are a famous out-of-the-box author.,gemini-2.0-flash,10,0,0.31568,0.34129,0.07221,0.07807,0.15539,0.12212,0.03304,0.03092
2025-04-29T09:09:24.726Z,Write a three-sentence summary of a story about an adventure on the open seas. You are a famous out-of-the-box author.,gemini-2.0-flash,10,0.5,0.81599,0.04605,0.25055,0.06144,0.48505,0.02879,0.11994,0.03297
2025-04-29T09:10:42.496Z,Write a three-sentence summary of a story about an adventure on the open seas. You are a famous out-of-the-box author.,gemini-2.0-flash,10,1,0.83107,0.04425,0.26735,0.05225,0.49877,0.03789,0.12857,0.02826
2025-04-29T09:12:09.723Z,Write a three-sentence summary of a story about an adventure on the open seas. Be creative.,gemini-2.0-flash,10,0.7,0.77045,0.10547,0.21403,0.11052,0.44656,0.06181,0.10146,0.05052
2025-04-29T09:12:45.826Z,Write a three-sentence summary of a story about an adventure on the open seas. Be creative.,gemini-2.0-flash,10,0,0.29199,0.31568,0.04045,0.04373,0.14407,0.09922,0.01837,0.01706
2025-04-29T09:13:36.723Z,Write a three-sentence summary of a story about an adventure on the open seas. Be creative.,gemini-2.0-flash,10,0.5,0.74128,0.09829,0.19538,0.08227,0.42318,0.03349,0.09217,0.02567
2025-04-29T09:14:31.353Z,Write a three-sentence summary of a story about an adventure on the open seas. Be creative.,gemini-2.0-flash,10,1,0.76296,0.07555,0.18641,0.08214,0.44076,0.03242,0.08773,0.02686